,date,home_team_abbr,home_score,away_team_abbr,away_score,away_GP,home_GP,away_assist_percentage,home_assist_percentage,away_assists,home_assists,away_block_percentage,home_block_percentage,away_blocks,home_blocks,away_days_between_games,home_days_between_games,away_defensive_rating,home_defensive_rating,away_defensive_rebound_percentage,home_defensive_rebound_percentage,away_defensive_rebounds,home_defensive_rebounds,away_effective_field_goal_percentage,home_effective_field_goal_percentage,away_field_goal_percentage,home_field_goal_percentage,away_field_goals,home_field_goals,away_free_throw_attempt_rate,home_free_throw_attempt_rate,away_free_throws,home_free_throws,away_game_lost,home_game_lost,away_game_won,home_game_won,away_opp_defensive_rebounds,home_opp_defensive_rebounds,away_opp_effective_field_goal_percentage,home_opp_effective_field_goal_percentage,away_opp_field_goal_percentage,home_opp_field_goal_percentage,away_opp_field_goals,home_opp_field_goals,away_opp_personal_fouls,home_opp_personal_fouls,away_opp_three_point_field_goals,home_opp_three_point_field_goals,away_opp_total_rebounds,home_opp_total_rebounds,away_opp_true_shooting_percentage,home_opp_true_shooting_percentage,away_opp_two_point_field_goal_percentage,home_opp_two_point_field_goal_percentage,away_opp_two_point_field_goals,home_opp_two_point_field_goals,away_personal_fouls,home_personal_fouls,away_ppg,home_ppg,away_steal_percentage,home_steal_percentage,away_steals,home_steals,away_three_point_attempt_rate,home_three_point_attempt_rate,away_three_point_field_goals,home_three_point_field_goals,away_total_rebound_percentage,home_total_rebound_percentage,away_total_rebounds,home_total_rebounds,away_true_shooting_percentage,home_true_shooting_percentage,away_turnover_percentage,home_turnover_percentage,away_turnovers,home_turnovers,away_two_point_field_goal_percentage,home_two_point_field_goal_percentage,away_two_point_field_goals,home_two_point_field_goals,away_win_perc,home_win_perc,total_score
0,2019-10-25,BOS,112.0,TOR,106.0,1.0,1.0,54.8,54.5,1.0,18.0,5.3,3.6,1.0,2.0,3,2,108.1,105.2,71.9,72.1,4.0,31.0,0.47600000000000003,0.406,0.222,0.36700000000000005,2.0,33.0,0.369,0.37799999999999995,0.0,20.0,0.0,1.0,1.0,0.0,37.0,50.0,0.515,0.47600000000000003,0.42200000000000004,0.435,43.0,37.0,34.0,34.0,19.0,7.0,53.0,62.0,0.551,0.531,0.42100000000000004,0.536,24.0,30.0,3.0,29.0,130.0,93.0,6.2,3.9,0.0,4.0,0.38799999999999996,0.289,1.0,7.0,51.8,39.8,6.0,41.0,0.5429999999999999,0.44299999999999995,11.8,8.7,2.0,10.0,0.2,0.406,1.0,26.0,1.0,0.0,218.0
1,2019-10-25,BRK,113.0,NYK,109.0,1.0,1.0,54.5,39.6,24.0,1.0,1.6,13.8,1.0,0.0,2,2,110.2,109.3,77.3,76.0,34.0,2.0,0.521,0.55,0.46799999999999997,0.5,44.0,5.0,0.191,0.257,13.0,2.0,1.0,1.0,0.0,0.0,41.0,40.0,0.5479999999999999,0.486,0.506,0.426,42.0,46.0,18.0,22.0,7.0,13.0,51.0,52.0,0.607,0.528,0.565,0.508,35.0,33.0,32.0,3.0,111.0,126.0,14.7,6.9,16.0,1.0,0.319,0.337,10.0,0.0,43.3,48.0,39.0,4.0,0.545,0.56,12.1,12.5,14.0,1.0,0.531,0.7140000000000001,34.0,5.0,0.0,0.0,222.0
2,2019-10-25,CHO,99.0,MIN,121.0,1.0,1.0,50.0,62.2,23.0,28.0,6.0,5.3,4.0,4.0,2,2,108.5,123.0,80.0,61.5,40.0,32.0,0.486,0.642,0.426,0.511,46.0,45.0,0.259,0.182,22.0,13.0,0.0,0.0,1.0,1.0,2.0,29.0,0.55,0.51,0.5,0.467,5.0,49.0,3.0,20.0,0.0,9.0,4.0,49.0,0.56,0.545,0.7140000000000001,0.5329999999999999,5.0,40.0,22.0,18.0,127.0,126.0,7.7,3.0,9.0,3.0,0.39799999999999996,0.5,13.0,23.0,52.0,45.6,52.0,41.0,0.528,0.6629999999999999,9.8,16.7,13.0,19.0,0.508,0.5,33.0,22.0,1.0,1.0,220.0
3,2019-10-25,DEN,108.0,PHO,107.0,1.0,1.0,63.3,70.6,31.0,24.0,15.5,6.8,9.0,4.0,2,2,87.4,100.1,74.5,72.3,35.0,34.0,0.556,0.531,0.5,0.42,49.0,34.0,0.184,0.33299999999999996,15.0,22.0,0.0,0.0,1.0,1.0,35.0,35.0,0.44799999999999995,0.45399999999999996,0.391,0.414,34.0,36.0,24.0,25.0,10.0,7.0,47.0,48.0,0.483,0.515,0.414,0.49200000000000005,24.0,29.0,25.0,23.0,124.0,108.0,12.0,11.0,13.0,11.0,0.337,0.395,11.0,18.0,48.4,48.4,44.0,45.0,0.585,0.581,11.7,17.0,14.0,19.0,0.585,0.327,38.0,16.0,1.0,1.0,215.0
4,2019-10-25,LAL,95.0,UTA,86.0,1.0,1.0,37.5,54.1,15.0,20.0,8.9,14.0,5.0,7.0,2,3,96.2,117.5,84.4,74.4,38.0,32.0,0.478,0.512,0.444,0.435,40.0,37.0,0.222,0.247,14.0,15.0,0.0,1.0,1.0,0.0,41.0,34.0,0.446,0.586,0.386,0.519,32.0,42.0,23.0,25.0,10.0,11.0,48.0,45.0,0.49200000000000005,0.612,0.39299999999999996,0.62,22.0,31.0,31.0,24.0,100.0,102.0,4.0,4.2,4.0,4.0,0.267,0.38799999999999996,6.0,13.0,50.5,47.7,49.0,41.0,0.506,0.541,10.0,12.9,11.0,14.0,0.515,0.462,34.0,24.0,1.0,0.0,181.0
5,2019-10-25,MEM,102.0,CHI,110.0,1.0,1.0,51.0,57.9,25.0,22.0,9.1,10.4,4.0,7.0,2,2,124.0,107.2,76.3,73.8,29.0,31.0,0.51,0.455,0.467,0.42700000000000005,49.0,38.0,0.21,0.337,18.0,20.0,1.0,1.0,0.0,0.0,32.0,40.0,0.642,0.512,0.511,0.47100000000000003,45.0,40.0,18.0,33.0,23.0,7.0,41.0,51.0,0.6629999999999999,0.5870000000000001,0.5,0.493,22.0,33.0,20.0,31.0,125.0,101.0,10.8,8.0,11.0,9.0,0.28600000000000003,0.36,9.0,5.0,54.4,44.0,49.0,40.0,0.545,0.494,8.0,19.0,10.0,24.0,0.5329999999999999,0.579,40.0,33.0,0.0,0.0,212.0
6,2019-10-25,NOP,116.0,DAL,123.0,1.0,1.0,48.6,69.8,17.0,30.0,9.6,14.3,5.0,9.0,2,3,96.4,115.2,78.8,69.8,41.0,37.0,0.5329999999999999,0.515,0.461,0.42200000000000004,35.0,43.0,0.434,0.196,27.0,17.0,0.0,1.0,1.0,0.0,36.0,4.0,0.457,0.47600000000000003,0.39799999999999996,0.222,37.0,2.0,32.0,3.0,11.0,1.0,47.0,6.0,0.495,0.5429999999999999,0.5,0.2,26.0,1.0,22.0,34.0,108.0,122.0,5.8,3.5,6.0,4.0,0.474,0.441,11.0,19.0,49.5,48.2,46.0,53.0,0.597,0.551,17.3,14.6,19.0,19.0,0.6,0.42100000000000004,24.0,24.0,1.0,0.0,239.0
7,2019-10-25,OKC,85.0,WAS,97.0,1.0,1.0,70.3,46.9,26.0,15.0,7.5,6.1,3.0,4.0,2,2,104.2,101.2,87.8,78.8,36.0,41.0,0.457,0.446,0.39799999999999996,0.386,37.0,32.0,0.19399999999999998,0.373,15.0,21.0,1.0,1.0,0.0,0.0,41.0,38.0,0.5329999999999999,0.478,0.461,0.444,35.0,40.0,22.0,31.0,11.0,6.0,46.0,49.0,0.597,0.506,0.6,0.515,24.0,34.0,32.0,23.0,100.0,95.0,5.8,5.1,6.0,5.0,0.441,0.325,11.0,10.0,50.5,49.5,47.0,48.0,0.495,0.49200000000000005,14.4,11.9,17.0,13.0,0.5,0.39299999999999996,26.0,22.0,0.0,0.0,182.0
8,2019-10-25,SAC,112.0,POR,122.0,1.0,1.0,36.1,50.0,13.0,17.0,8.2,7.7,4.0,5.0,2,2,108.1,114.1,76.1,79.5,35.0,35.0,0.45399999999999996,0.44799999999999995,0.414,0.391,36.0,34.0,0.264,0.299,21.0,17.0,1.0,1.0,0.0,0.0,34.0,35.0,0.531,0.556,0.42,0.5,34.0,49.0,23.0,25.0,18.0,11.0,45.0,44.0,0.581,0.585,0.327,0.585,16.0,38.0,25.0,24.0,100.0,95.0,9.0,4.6,9.0,5.0,0.322,0.33299999999999996,7.0,10.0,51.6,51.6,48.0,47.0,0.515,0.483,17.1,20.9,20.0,26.0,0.49200000000000005,0.414,29.0,24.0,0.0,0.0,234.0
9,2019-10-26,ATL,103.0,ORL,99.0,1.0,1.0,64.9,61.4,24.0,27.0,7.4,4.2,4.0,2.0,3,2,86.1,103.3,79.6,79.1,39.0,34.0,0.483,0.5760000000000001,0.43,0.512,37.0,44.0,0.221,0.244,11.0,18.0,0.0,0.0,1.0,1.0,44.0,30.0,0.426,0.47100000000000003,0.375,0.41200000000000003,33.0,35.0,15.0,20.0,9.0,10.0,54.0,39.0,0.449,0.528,0.444,0.521,24.0,25.0,18.0,15.0,94.0,117.0,12.2,9.3,12.0,9.0,0.349,0.36,9.0,11.0,46.0,51.9,46.0,42.0,0.498,0.614,12.1,12.0,13.0,13.0,0.5,0.6,28.0,33.0,1.0,1.0,202.0
