,team_abbr,score,h/a,opp,game_won,game_lost,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,free_throws,personal_fouls,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_percentage,two_point_field_goals,opp_defensive_rebounds,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_field_goals,opp_personal_fouls,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,opp_two_point_field_goals,date
0,GSW,99,a,BRK,0,1,70.3,26,10.5,6,113.1,72.3,34,0.424,0.374,37,0.23199999999999998,0.652,15,24,5.4,6,0.33299999999999996,0.303,10,45.2,47,0.45399999999999996,14.2,18,0.409,27,44,0.5379999999999999,0.457,42,22,0.429,15,57,0.589,0.474,27,2020-12-22 19:00:00
1,BRK,125,h,GSW,1,0,57.1,24,10.6,7,89.6,77.2,44,0.5379999999999999,0.457,42,0.348,0.813,26,22,10.0,11,0.38,0.429,15,54.8,57,0.589,15.9,20,0.474,27,34,0.424,0.374,37,24,0.303,10,47,0.45399999999999996,0.409,27,2020-12-22 19:00:00
2,LAC,116,a,LAL,1,0,50.0,22,5.8,3,105.3,78.4,29,0.5479999999999999,0.473,44,0.204,0.737,14,29,9.7,10,0.43,0.35,14,47.1,40,0.5720000000000001,13.6,16,0.5660000000000001,30,37,0.525,0.469,38,20,0.31,9,45,0.5760000000000001,0.5579999999999999,29,2020-12-22 22:00:00
3,LAL,109,h,LAC,0,1,57.9,22,3.8,2,112.1,77.1,37,0.525,0.469,38,0.38299999999999995,0.774,24,20,3.9,4,0.358,0.31,9,52.9,45,0.5760000000000001,16.7,19,0.5579999999999999,29,29,0.5479999999999999,0.473,44,29,0.35,14,40,0.5720000000000001,0.5660000000000001,30,2020-12-22 22:00:00
4,MIL,121,a,BOS,0,1,41.3,19,9.8,6,122.1,80.4,41,0.589,0.511,46,0.2,0.833,15,20,4.0,4,0.389,0.4,14,58.4,52,0.618,14.0,16,0.5820000000000001,32,27,0.564,0.475,48,17,0.45,18,37,0.5760000000000001,0.49200000000000005,30,2020-12-23 19:30:00
5,BOS,122,h,MIL,1,0,47.9,23,10.9,6,121.1,71.1,27,0.564,0.475,48,0.109,0.727,8,17,8.0,8,0.396,0.45,18,41.6,37,0.5760000000000001,5.4,6,0.49200000000000005,30,41,0.589,0.511,46,20,0.4,14,52,0.618,0.5820000000000001,32,2020-12-23 19:30:00
6,ATL,124,a,CHI,1,0,55.8,24,5.8,3,100.1,82.6,38,0.625,0.5379999999999999,43,0.363,0.828,24,29,5.8,6,0.43799999999999994,0.4,14,55.4,46,0.6679999999999999,18.5,21,0.644,29,29,0.46,0.414,36,22,0.22899999999999998,8,37,0.524,0.5379999999999999,28,2020-12-23 20:00:00
7,CHI,104,h,ATL,0,1,55.6,20,6.7,3,119.4,78.4,29,0.46,0.414,36,0.322,0.857,24,22,9.6,10,0.402,0.22899999999999998,8,44.6,37,0.524,13.1,15,0.5379999999999999,28,38,0.625,0.5379999999999999,43,29,0.4,14,46,0.6679999999999999,0.644,29,2020-12-23 20:00:00
8,CHO,114,a,CLE,0,1,64.4,29,7.0,4,119.2,70.6,24,0.589,0.5,45,0.16699999999999998,0.5329999999999999,8,17,9.8,10,0.489,0.364,16,39.0,32,0.59,13.4,15,0.63,29,40,0.609,0.529,46,22,0.467,14,50,0.632,0.561,32,2020-12-23 19:00:00
9,CLE,121,h,CHO,1,0,73.9,34,6.5,3,112.3,83.3,40,0.609,0.529,46,0.23,0.75,15,22,11.8,12,0.345,0.467,14,61.0,50,0.632,15.8,18,0.561,32,24,0.589,0.5,45,17,0.364,16,32,0.59,0.63,29,2020-12-23 19:00:00
